First Name,Last Name,Street,Zip,City,Type,Last Check-In Date,Job,Phone,Company
Federico,García,Recogidas Street,18805,Granada,U,14/01/2018,Dentist,958 419182,Badger Maps
Ángel,Ganivet,Puerta Real Avenue,18805,Granada,U,06/02/2018,Salesman,917891232,Badger Maps
,,,,,,,,,
André,Citröen,Gran Via Road,18805,Granada,D,1/3/2018,Postman,971 659 123,Badger Maps
Anselmo,Ortega,King St,DE1 3LD,Almería,A,12/11/2017,Policeman,933 12 41 59,Wood SA
Bjorn,Ostberg,"27, Queen St",DE1 3LD,Almería,U,24/04/2018,Actor,93 1 31 21 29,Wood SA
Markus,Dupont,"102, Fake Street",18005,Granada,A,,Musician,912234223,Fabric SA
Jake,Robins,Street Road,,Granada,D,11/03/2018,Assistant,1111111111,Fabric SA
Lola,Rivers,,18005,Granada,A,21/02/2018,CEO,958963229,Fabric SA
Paul,Hudson,Leicester Square,18005,Granada,D,24/01/2018,Salesman,953912345,Fabric SA
